breed,age_years,weight_kg,color,gender,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a4_tolerates_being_alone,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,c1_amount_of_shedding,c2_drooling_potential,d1_easy_to_train,d5_tendency_to_bark_or_howl,e1_energy_level,e3_exercise_needs,size,age_category,color_category,cluster,cluster_name,is_anomaly,anomaly_score
akita,5,33,Sable,Male,2,2,1,5,1,1,5,5,2,5,4,4,large,adult,unique,3,large_working,-1,-0.00886127305314277
west highland white terrier,6,43,Brown,Male,4,4,2,5,4,5,4,1,4,4,4,4,large,adult,dark,2,small_companion,1,0.11785238860222136
shih tzu,9,41,Tricolor,Male,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,mixed,2,small_companion,1,0.11723197668689922
lhasa apso,12,35,White,Female,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,light,1,independent_character,1,0.1145986381147937
bull terrier,3,38,Cream,Male,4,4,2,5,5,4,3,1,5,1,4,5,large,puppy,light,5,smart_active,1,0.10975066302350012
shetland sheepdog,10,40,Blue,Male,2,3,2,5,5,4,5,1,5,1,4,4,large,senior,unique,5,smart_active,1,0.09560358723404627
boxer,4,46,Black and White,Male,4,3,1,5,4,3,4,2,4,3,5,5,large,adult,mixed,3,large_working,1,0.13011879791857717
labrador retriever,3,59,Blue,Female,1,3,2,5,5,5,5,3,5,4,5,5,large,puppy,unique,0,family_active,1,0.11542894055049463
dachshund,10,31,Tricolor,Female,5,4,3,4,5,3,3,1,2,5,3,3,large,senior,mixed,1,independent_character,1,0.09346636634119565
whippet,14,51,Brindle,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,senior,mixed,5,smart_active,1,0.10558414949628958
alaskan malamute,2,23,Blue,Male,1,1,1,4,3,2,5,1,4,5,5,5,medium,puppy,unique,3,large_working,1,0.05178362947380133
havanese,2,29,White,Male,5,5,1,5,4,5,2,1,5,2,3,3,medium,puppy,light,2,small_companion,1,0.12281828254349136
golden retriever,11,29,Merle,Female,2,3,1,5,5,5,5,4,5,3,5,5,medium,senior,unique,0,family_active,1,0.08528781558879694
akita,9,19,Red,Female,2,2,1,5,1,1,5,5,2,5,4,4,medium,senior,unique,3,large_working,-1,-0.00886127305314277
saint bernard,14,33,Gray,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,senior,light,3,large_working,1,0.010965258266183886
cavalier king charles spaniel,11,55,Cream,Female,5,5,1,5,5,5,3,1,4,3,3,4,large,senior,light,2,small_companion,1,0.11561804964437455
french bulldog,7,46,Gray,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,adult,light,2,small_companion,1,0.14241912525877787
miniature schnauzer,11,24,Black and Tan,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,senior,dark,5,smart_active,1,0.049418521329423815
irish setter,4,7,Brown,Male,1,3,2,5,5,5,4,2,4,4,5,5,small,adult,dark,0,family_active,1,0.13291247026930442
saint bernard,12,47,Spotted,Male,3,2,1,5,5,5,4,5,2,1,3,2,large,senior,mixed,3,large_working,1,0.010965258266183886
boston terrier,13,54,Black,Female,5,4,3,4,5,5,2,1,4,3,4,4,large,senior,dark,5,smart_active,1,0.1022841672540743
doberman pinscher,3,34,Black and White,Female,3,3,2,5,3,1,4,4,5,1,3,3,large,puppy,mixed,3,large_working,1,0.04141680801384029
whippet,3,6,Red,Male,5,3,2,5,5,4,2,1,4,1,5,5,small,puppy,unique,5,smart_active,1,0.10558414949628958
bichon frise,5,26,White,Male,5,5,1,5,4,4,2,1,5,2,5,3,medium,adult,light,2,small_companion,1,0.15944015389041594
chihuahua,11,59,Bicolor,Female,5,4,1,5,5,2,2,1,4,3,3,1,large,senior,mixed,2,small_companion,1,0.04033536595833154
belgian malinois,8,22,Black,Male,1,3,3,5,4,2,2,1,5,2,5,5,medium,adult,dark,5,smart_active,1,0.056851380059695145
german shepherd dog,3,30,Tricolor,Female,3,2,2,5,5,2,5,1,5,4,5,5,medium,puppy,mixed,3,large_working,1,0.08877452506852401
weimaraner,13,19,Bicolor,Female,1,2,1,5,4,3,4,4,4,2,5,5,medium,senior,mixed,3,large_working,1,0.10893677592658224
dachshund,5,27,White,Male,5,4,3,4,5,3,3,1,2,5,3,3,medium,adult,light,1,independent_character,1,0.09346636634119565
pomeranian,5,20,White,Female,4,4,1,5,2,2,4,1,4,5,3,2,medium,adult,light,1,independent_character,1,0.050059729299895106
alaskan malamute,10,55,Brown,Male,1,1,1,4,3,2,5,1,4,5,5,5,large,senior,dark,3,large_working,1,0.05178362947380133
basenji,12,23,Tricolor,Female,5,4,4,5,5,4,1,5,1,1,5,5,medium,senior,mixed,4,outlier_unique,-1,-0.015910031319223084
pembroke welsh corgi,13,16,Black and Tan,Male,4,4,3,5,4,3,5,1,5,2,4,4,medium,senior,dark,5,smart_active,1,0.11917582392484138
golden retriever,2,59,Black and Tan,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,puppy,dark,0,family_active,1,0.08528781558879694
chinese shar-pei,6,29,White,Female,4,2,4,2,2,1,5,2,3,5,2,3,medium,adult,light,1,independent_character,1,0.03603625785343145
pug,4,10,White,Female,5,5,1,5,4,4,5,1,3,2,3,3,small,adult,light,2,small_companion,1,0.1093041223286344
shiba inu,8,48,Brindle,Male,5,4,5,4,3,3,4,1,2,4,4,3,large,adult,mixed,1,independent_character,1,0.03866640228556284
labrador retriever,5,11,Brindle,Male,1,3,2,5,5,5,5,3,5,4,5,5,small,adult,mixed,0,family_active,1,0.11542894055049463
bloodhound,14,46,Brindle,Male,1,2,2,5,5,5,4,5,3,4,5,5,large,senior,mixed,0,family_active,1,0.08520155191862566
cocker spaniel,11,48,Red,Male,5,3,1,5,3,4,3,1,5,3,4,3,large,senior,unique,2,small_companion,1,0.09819957107015731
irish setter,3,52,Blue,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,puppy,unique,0,family_active,1,0.13291247026930442
west highland white terrier,12,17,Merle,Male,4,4,2,5,4,5,4,1,4,4,4,4,medium,senior,unique,2,small_companion,1,0.11785238860222136
chinese shar-pei,1,17,Black and White,Male,4,2,4,2,2,1,5,2,3,5,2,3,medium,puppy,mixed,1,independent_character,1,0.03603625785343145
basenji,12,50,Cream,Male,5,4,4,5,5,4,1,5,1,1,5,5,large,senior,light,4,outlier_unique,-1,-0.015910031319223084
shih tzu,10,42,Red,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,unique,2,small_companion,1,0.11723197668689922
cavalier king charles spaniel,3,23,Sable,Male,5,5,1,5,5,5,3,1,4,3,3,4,medium,puppy,unique,2,small_companion,1,0.11561804964437455
maltese,14,14,Blue,Female,5,5,1,5,3,4,2,1,4,2,3,2,small,senior,unique,2,small_companion,1,0.10626288972640852
golden retriever,14,13,Tricolor,Male,2,3,1,5,5,5,5,4,5,3,5,5,small,senior,mixed,0,family_active,1,0.08528781558879694
french bulldog,3,58,Red,Male,5,5,1,5,4,4,3,1,4,3,3,2,large,puppy,unique,2,small_companion,1,0.14241912525877787
cavalier king charles spaniel,13,45,Black and White,Male,5,5,1,5,5,5,3,1,4,3,3,4,large,senior,mixed,2,small_companion,1,0.11561804964437455
akita,10,13,Brindle,Male,2,2,1,5,1,1,5,5,2,5,4,4,small,senior,mixed,3,large_working,-1,-0.00886127305314277
alaskan malamute,7,5,Spotted,Female,1,1,1,4,3,2,5,1,4,5,5,5,small,adult,mixed,3,large_working,1,0.05178362947380133
shih tzu,9,37,Cream,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,light,2,small_companion,1,0.11723197668689922
lhasa apso,10,17,Blue,Female,5,5,4,4,4,3,3,1,3,4,4,3,medium,senior,unique,1,independent_character,1,0.1145986381147937
basenji,2,57,Black,Female,5,4,4,5,5,4,1,5,1,1,5,5,large,puppy,dark,4,outlier_unique,-1,-0.015910031319223084
yorkshire terrier,2,25,Merle,Female,5,4,2,4,2,3,2,1,3,3,5,4,medium,puppy,unique,1,independent_character,1,0.08596830702228297
cocker spaniel,2,58,Blue,Male,5,3,1,5,3,4,3,1,5,3,4,3,large,puppy,unique,2,small_companion,1,0.09819957107015731
standard schnauzer,1,55,Bicolor,Male,4,2,2,4,4,3,1,1,3,2,5,5,large,puppy,mixed,5,smart_active,1,0.06975670786733079
yorkshire terrier,2,20,Sable,Male,5,4,2,4,2,3,2,1,3,3,5,4,medium,puppy,unique,1,independent_character,1,0.08596830702228297
border collie,8,28,Black and White,Male,2,2,1,5,4,3,3,1,5,2,5,5,medium,adult,mixed,5,smart_active,1,0.12980876058686436
golden retriever,1,59,Tricolor,Male,2,3,1,5,5,5,5,4,5,3,5,5,large,puppy,mixed,0,family_active,1,0.08528781558879694
papillon,7,49,Bicolor,Female,5,5,1,5,3,4,2,1,5,2,4,5,large,adult,mixed,2,small_companion,1,0.08890602129631608
french bulldog,12,22,Spotted,Male,5,5,1,5,4,4,3,1,4,3,3,2,medium,senior,mixed,2,small_companion,1,0.14241912525877787
airedale terrier,6,28,Brindle,Male,1,2,2,4,4,4,2,1,4,4,5,5,medium,adult,mixed,0,family_active,1,0.11990421320075151
chihuahua,10,14,Sable,Female,5,4,1,5,5,2,2,1,4,3,3,1,small,senior,unique,2,small_companion,1,0.04033536595833154
shiba inu,13,50,Merle,Female,5,4,5,4,3,3,4,1,2,4,4,3,large,senior,unique,1,independent_character,1,0.03866640228556284
bulldog,9,39,Tan,Female,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,light,1,independent_character,1,0.08167644158922482
french bulldog,14,37,Black and White,Female,5,5,1,5,4,4,3,1,4,3,3,2,large,senior,mixed,2,small_companion,1,0.14241912525877787
samoyed,6,46,Merle,Female,2,2,2,5,5,5,5,2,3,3,5,5,large,adult,unique,0,family_active,1,0.10307336763685271
pembroke welsh corgi,7,11,Blue,Female,4,4,3,5,4,3,5,1,5,2,4,4,small,adult,unique,5,smart_active,1,0.11917582392484138
pomeranian,9,32,White,Male,4,4,1,5,2,2,4,1,4,5,3,2,large,senior,light,1,independent_character,1,0.050059729299895106
shih tzu,14,40,Brown,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,dark,2,small_companion,1,0.11723197668689922
